"UniversityName","PublicationCount"
"","1044"
"Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA, USA","61"
"Department of Computer Science, University of Manitoba, Winnipeg, MB, Canada","59"
"NASA Goddard Space Flight Center, Greenbelt, MD, USA","47"
"Los Alamos National Laboratory, Los Alamos, NM, USA","31"
"Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA","30"
"Massachusetts Institute of Technology","22"
"National Institute of Standards and Technology","22"
"Cornell University","20"
"Goethe-Universität Frankfurt am Main","20"
"Pontificia Universidad Católica del Perú","20"
"Universidad Complutense de Madrid","20"
"Oak Ridge National Laboratory","19"
"Renaissance Computing Institute (RENCI), University of North Carolina at Chapel Hill, North Carolina","17"
"IBM Research","16"
"Newcastle University","15"
"Department of Computer Science, Montclair State University, Montclair, New Jersey, USA","13"
"Lawrence Livermore National Laboratory, Livermore, CA, USA","13"
"Information Technology Center, The University of Tokyo","12"
"University of Alabama in Huntsville","12"
"Computer Science Department, Jordan University of Science and Technology, Irbid, Jordan","11"
"Department of Computer Science Kansas State, University Manhattan, Kansas, USA","11"
"Department of Computer Science, Kansas State University Manhattan, Manhattan, KS, USA","11"
"Faculty of Science, Pavol Jozef Šafárik University in Košice, Slovak","11"
"Faculty of Science, Pavol Jozef Šafárik University in Košice, Slovak Republic","11"
"MIT Lincoln Laboratory, Lexington, MA","11"
"NASA Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA, USA","11"
"National Institute of Informatics, Tokyo, Japan","11"
"National Science and Technology Plan Management Support Center, Institute of Scientific and Technical Information of China, Beijing, China","11"
"University of Tours, France","11"
